description,amount,category,date
Planet Fitness Her,77.94,Fitness,2025-06-30
Electric Company Thought,33.95,Utilities,2025-06-30
Charity Donation None,440.05,Others,2025-09-30
Loan EMI Region,713.55,Finance,2025-08-12
Charity Donation Thank,380.27,Others,2025-09-03
Movie Theater Alone,35.4,Entertainment,2025-09-11
Domino's order 841,44.33,Food & Dining,2025-01-16
Bank Transfer Important,377.33,Finance,2025-06-08
Internet Service Toward,139.09,Utilities,2025-04-05
Best Buy Water,451.59,Shopping,2025-08-17
Charity Donation Congress,56.04,Others,2025-02-10
Phone Bill All,181.48,Utilities,2025-04-29
Electric Company Continue,106.84,Utilities,2025-06-30
Clinic Prevent,22.04,Healthcare,2025-05-25
CVS Pharmacy According,173.66,Healthcare,2025-01-17
Gym Membership Interesting,109.41,Fitness,2024-12-20
Credit Card Payment Concern,1941.56,Finance,2025-05-30
Subway order 393,41.28,Food & Dining,2025-08-11
Water Board Whole,149.87,Utilities,2025-11-17
Fitbit Subscription Common,32.4,Fitness,2025-01-31
Netflix Policy,39.67,Entertainment,2025-11-16
Miscellaneous Media,478.45,Others,2025-07-12
Electric Company Region,116.64,Utilities,2025-01-02
Investment Platform East,1277.0,Finance,2025-04-11
Gas Co Thousand,58.3,Utilities,2025-11-18
Netflix Much,12.95,Entertainment,2025-07-09
Gift Shop Traditional,397.49,Others,2025-10-18
Uber ride from North Ryanshire,678.07,Travel,2025-03-28
Target Pull,36.69,Shopping,2025-06-20
Subway order 611,67.59,Food & Dining,2024-11-23
Walgreens Seek,101.7,Healthcare,2024-12-27
Fitbit Subscription American,63.78,Fitness,2025-01-01
Clinic Attorney,53.25,Healthcare,2025-09-20
Hulu Concern,25.16,Entertainment,2025-04-10
Hulu Night,20.2,Entertainment,2025-10-21
Uber ride from Scottbury,33.7,Travel,2025-01-08
Walgreens Health,189.93,Healthcare,2025-05-08
Gym Membership Kid,126.39,Fitness,2025-09-15
Credit Card Payment Such,1787.15,Finance,2025-07-22
Airbnb ride from Port Erica,249.22,Travel,2025-07-23
Walmart President,463.74,Shopping,2025-07-25
Yoga Studio Recent,124.27,Fitness,2024-12-11
Cafe Nero order 714,66.83,Food & Dining,2025-05-24
Cinema Around,10.33,Entertainment,2025-07-26
Bank Transfer Their,609.42,Finance,2025-09-06
Electric Company Community,150.2,Utilities,2025-06-25
Amazon Debate,44.98,Shopping,2025-04-24
Internet Service At,64.2,Utilities,2025-10-30
Gas Co Letter,129.04,Utilities,2025-09-28
Hospital After,55.49,Healthcare,2025-03-10
Airbnb ride from West Jesus,18.66,Travel,2025-07-29
Hulu Someone,26.48,Entertainment,2025-05-07
CVS Pharmacy Such,152.59,Healthcare,2025-04-15
Hospital Table,37.77,Healthcare,2025-05-24
Charity Donation Morning,257.45,Others,2025-01-13
Hospital Network,109.22,Healthcare,2025-09-10
McDonald's order 615,37.35,Food & Dining,2024-12-14
Charity Donation Return,387.61,Others,2025-08-11
CVS Pharmacy Likely,193.6,Healthcare,2024-12-06
Investment Platform Until,251.46,Finance,2025-06-13
Miscellaneous Home,455.77,Others,2025-02-28
Gas Co Leave,129.15,Utilities,2025-07-24
Gift Shop Food,151.84,Others,2025-09-25
Credit Card Payment Movement,1160.17,Finance,2025-03-11
Target Big,327.17,Shopping,2025-02-18
CVS Pharmacy Huge,187.27,Healthcare,2025-01-24
Investment Platform Range,329.61,Finance,2025-05-27
Target Argue,278.37,Shopping,2025-05-16
Flipkart Base,381.05,Shopping,2025-05-18
Electric Company Art,117.36,Utilities,2025-02-09
Investment Platform Mouth,1943.01,Finance,2024-11-29
Netflix So,22.85,Entertainment,2025-07-02
Walgreens Manage,140.95,Healthcare,2025-04-06
Internet Service Do,253.99,Utilities,2025-10-21
Trainline ride from Lake Coryberg,577.32,Travel,2025-03-24
Target Wear,248.41,Shopping,2025-07-02
McDonald's order 771,99.11,Food & Dining,2025-09-30
Flipkart Election,466.71,Shopping,2025-01-26
KFC order 150,96.22,Food & Dining,2025-04-04
Etsy Project,465.91,Shopping,2025-10-25
Clinic Face,174.87,Healthcare,2025-07-14
Starbucks order 999,96.13,Food & Dining,2025-02-10
Pizza Hut order 447,64.59,Food & Dining,2025-09-07
Miscellaneous Idea,288.69,Others,2025-02-16
Credit Card Payment Third,753.04,Finance,2025-09-02
Etsy Worry,298.43,Shopping,2024-12-22
Spotify Major,39.31,Entertainment,2025-10-23
Airbnb ride from Lake Stephanie,676.49,Travel,2025-11-06
KFC order 113,63.84,Food & Dining,2025-01-06
Clinic Same,120.88,Healthcare,2025-10-06
Planet Fitness Speech,33.68,Fitness,2025-02-23
Spotify Provide,42.78,Entertainment,2025-04-18
Disney+ Card,44.26,Entertainment,2025-04-26
Electric Company None,69.81,Utilities,2024-12-14
Miscellaneous Control,24.09,Others,2025-08-07
CVS Pharmacy Indicate,190.44,Healthcare,2025-01-17
Gift Shop Simple,152.55,Others,2025-09-22
Bank Transfer Often,858.53,Finance,2025-10-12
Netflix Reveal,46.77,Entertainment,2025-11-08
Airbnb ride from Butlershire,384.1,Travel,2025-08-02
CVS Pharmacy Make,197.46,Healthcare,2025-11-07
Uber ride from East Kennethport,432.29,Travel,2025-06-03
Bank Transfer Yourself,206.55,Finance,2024-12-04
Planet Fitness Reach,40.39,Fitness,2025-06-11
Miscellaneous Issue,241.56,Others,2025-06-26
Fitbit Subscription Personal,133.06,Fitness,2025-06-06
Internet Service Accept,116.8,Utilities,2025-01-12
Walmart Grow,489.57,Shopping,2025-04-07
Yoga Studio Walk,123.5,Fitness,2025-09-16
Yoga Studio Level,67.92,Fitness,2025-03-25
Electric Company Then,31.88,Utilities,2025-11-13
Fitbit Subscription Write,37.6,Fitness,2025-11-21
Netflix Oil,17.63,Entertainment,2025-10-17
Charity Donation Together,407.65,Others,2025-04-01
Ola ride from Phillipsburgh,265.42,Travel,2025-09-08
Walmart Shoulder,48.58,Shopping,2025-09-15
Electric Company Forget,255.28,Utilities,2025-10-06
Netflix Table,48.93,Entertainment,2024-12-14
Water Board Each,285.64,Utilities,2025-01-04
Pizza Hut order 552,89.51,Food & Dining,2025-05-31
Investment Platform Cover,1557.67,Finance,2024-11-24
Flipkart Smile,39.78,Shopping,2025-01-13
Gift Shop Myself,424.91,Others,2025-04-04
Planet Fitness Operation,131.15,Fitness,2025-09-06
Ola ride from South Kevin,985.56,Travel,2025-09-11
Gas Co Finish,44.37,Utilities,2025-04-27
Trainline ride from Lake Mariashire,885.13,Travel,2025-05-31
Credit Card Payment Get,1069.51,Finance,2025-10-20
Gym Membership Field,149.31,Fitness,2025-04-29
Ola ride from North Linda,652.05,Travel,2025-08-28
Best Buy Behind,459.56,Shopping,2025-07-03
Miscellaneous According,135.93,Others,2025-11-12
Phone Bill Security,94.72,Utilities,2025-10-04
Clinic Floor,147.77,Healthcare,2025-05-20
Investment Platform Range,426.66,Finance,2025-09-08
Planet Fitness Wish,58.37,Fitness,2025-07-10
KFC order 236,91.66,Food & Dining,2025-04-13
Planet Fitness Camera,115.91,Fitness,2025-07-12
Walmart Apply,475.7,Shopping,2025-10-19
Planet Fitness Exactly,84.5,Fitness,2025-10-01
Rite Aid Itself,172.27,Healthcare,2025-11-14
Cinema Stock,39.74,Entertainment,2025-04-07
Flipkart Ago,408.25,Shopping,2024-12-14
Target Effort,214.55,Shopping,2025-10-01
Investment Platform Question,1411.67,Finance,2025-08-16
Trainline ride from Halemouth,789.66,Travel,2025-05-02
Planet Fitness Upon,129.22,Fitness,2025-07-16
Gas Co Condition,104.33,Utilities,2025-07-27
Disney+ Move,36.18,Entertainment,2025-05-19
Planet Fitness Case,117.5,Fitness,2025-02-05
Uber ride from South Timothy,70.15,Travel,2024-12-05
Walgreens Policy,135.35,Healthcare,2025-11-05
CVS Pharmacy Dark,180.78,Healthcare,2025-11-10
Charity Donation Purpose,192.38,Others,2025-04-21
Disney+ Water,21.31,Entertainment,2025-04-17
Clinic Five,25.71,Healthcare,2025-03-08
Walmart Foreign,333.01,Shopping,2025-07-08
Charity Donation System,217.8,Others,2025-02-02
Target Resource,294.65,Shopping,2025-08-10
Yoga Studio Option,24.21,Fitness,2025-08-21
Trainline ride from Millerstad,520.92,Travel,2025-08-10
Charity Donation Activity,30.63,Others,2025-04-16
Clinic Local,35.0,Healthcare,2025-03-08
Loan EMI Threat,1502.02,Finance,2024-12-14
Fitbit Subscription Huge,30.47,Fitness,2025-04-09
Gas Co Into,284.79,Utilities,2025-05-01
Cinema Wide,40.88,Entertainment,2025-05-27
Miscellaneous Give,52.9,Others,2024-12-05
Investment Platform Culture,291.88,Finance,2025-08-13
Cinema Whole,43.27,Entertainment,2025-01-18
Hulu Compare,32.92,Entertainment,2025-03-25
Fitbit Subscription Can,111.27,Fitness,2025-03-03
Taxi Service ride from Bauerfurt,509.09,Travel,2025-01-14
Fitbit Subscription Every,61.83,Fitness,2025-05-08
Gym Membership Remain,116.13,Fitness,2025-06-14
Gym Membership One,79.92,Fitness,2025-09-02
Credit Card Payment Sound,481.84,Finance,2025-08-25
Charity Donation Option,155.65,Others,2025-10-08
Internet Service Wife,235.06,Utilities,2025-07-05
Bank Transfer Way,72.15,Finance,2025-05-20
Walgreens Someone,113.27,Healthcare,2025-03-10
Gym Membership Despite,32.34,Fitness,2025-10-30
CVS Pharmacy Account,82.6,Healthcare,2025-07-29
Airbnb ride from East Lisaberg,864.45,Travel,2024-12-01
Miscellaneous Fill,235.13,Others,2025-04-05
Bank Transfer Half,1914.06,Finance,2025-04-09
Pizza Hut order 736,6.98,Food & Dining,2025-08-07
Best Buy Truth,418.15,Shopping,2025-03-06
Fitbit Subscription Should,34.96,Fitness,2025-08-02
Phone Bill Education,111.1,Utilities,2025-05-05
Walmart Take,181.66,Shopping,2025-09-11
Fitbit Subscription Firm,123.19,Fitness,2025-05-25
KFC order 997,17.92,Food & Dining,2025-08-01
Credit Card Payment As,242.64,Finance,2025-01-24
Hospital Around,117.03,Healthcare,2025-06-04
Planet Fitness Party,122.93,Fitness,2025-08-30
Cafe Nero order 277,35.71,Food & Dining,2024-11-23
Rite Aid Field,47.62,Healthcare,2025-09-25
Gas Co Help,269.26,Utilities,2025-05-06
CVS Pharmacy Capital,93.45,Healthcare,2025-02-25
Flipkart Themselves,330.97,Shopping,2025-03-10
Phone Bill Scene,222.19,Utilities,2025-02-21
Ola ride from Brandonmouth,119.12,Travel,2025-01-25
Target Share,208.85,Shopping,2024-12-22
Electric Company Authority,210.62,Utilities,2025-08-06
Flipkart Its,296.03,Shopping,2025-02-17
Walgreens Management,175.25,Healthcare,2025-04-09
Internet Service Onto,79.25,Utilities,2025-06-05
Movie Theater Instead,30.12,Entertainment,2025-09-17
Best Buy Same,227.41,Shopping,2025-06-10
Fitbit Subscription Already,42.08,Fitness,2025-07-22
Electric Company Job,161.35,Utilities,2025-10-24
Spotify Money,33.39,Entertainment,2025-11-02
CVS Pharmacy Enough,74.78,Healthcare,2025-03-11
Yoga Studio Especially,81.71,Fitness,2025-01-20
Yoga Studio Democrat,91.61,Fitness,2025-09-21
Fitbit Subscription Nation,145.24,Fitness,2025-05-22
Subway order 717,36.86,Food & Dining,2025-05-29
Gift Shop Event,353.38,Others,2025-05-27
Walmart Lawyer,439.3,Shopping,2025-05-21
Cafe Nero order 538,55.1,Food & Dining,2024-12-18
Walmart Activity,376.56,Shopping,2025-04-03
KFC order 585,5.44,Food & Dining,2025-02-17
Disney+ Per,29.71,Entertainment,2025-08-03
Best Buy Financial,83.89,Shopping,2025-01-22
Investment Platform Small,787.32,Finance,2025-03-21
Walgreens Easy,120.46,Healthcare,2025-10-25
Taxi Service ride from West Aaron,934.98,Travel,2025-04-24
Walgreens Anyone,186.29,Healthcare,2025-03-28
Fitbit Subscription She,129.38,Fitness,2025-04-28
Gift Shop Five,117.12,Others,2025-08-20
Phone Bill Choice,236.65,Utilities,2025-10-15
Uber ride from Port Victor,508.33,Travel,2025-07-09
Hospital Old,77.13,Healthcare,2025-05-31
Target Cause,88.47,Shopping,2025-10-27
Loan EMI Early,414.13,Finance,2025-08-17
Investment Platform Receive,1439.65,Finance,2025-09-17
Hospital Morning,17.34,Healthcare,2025-09-08
Walgreens Officer,40.46,Healthcare,2024-12-09
Pizza Hut order 466,45.76,Food & Dining,2024-12-17
KFC order 542,75.2,Food & Dining,2025-03-31
Walgreens Traditional,143.82,Healthcare,2025-11-10
Subway order 800,41.67,Food & Dining,2025-07-04
Gym Membership Call,75.98,Fitness,2025-10-24
Clinic Seek,169.29,Healthcare,2025-06-16
Credit Card Payment Finally,1435.95,Finance,2025-10-12
Delta Airlines ride from Hayesshire,870.21,Travel,2025-04-21
Cafe Nero order 836,13.46,Food & Dining,2025-06-29
Subway order 523,84.57,Food & Dining,2024-12-30
KFC order 506,60.47,Food & Dining,2025-06-08
Clinic Prevent,172.23,Healthcare,2025-05-17
Investment Platform Really,1645.23,Finance,2025-06-14
Credit Card Payment May,1237.3,Finance,2025-04-05
Spotify Opportunity,26.74,Entertainment,2025-05-13
Etsy Data,451.76,Shopping,2025-08-07
Water Board Bill,165.75,Utilities,2025-10-02
Charity Donation Economic,209.06,Others,2025-03-15
Delta Airlines ride from South Ashley,524.91,Travel,2025-08-19
Movie Theater Glass,20.06,Entertainment,2025-09-19
Airbnb ride from Port Davidton,235.14,Travel,2025-09-15
Credit Card Payment Character,742.33,Finance,2025-04-10
Delta Airlines ride from Lancefort,100.55,Travel,2025-04-16
Spotify Success,16.69,Entertainment,2025-11-18
Bank Transfer Only,329.08,Finance,2025-03-29
Delta Airlines ride from Changborough,22.64,Travel,2025-11-01
Movie Theater Risk,39.42,Entertainment,2025-08-13
Credit Card Payment Reach,1855.43,Finance,2025-01-04
Taxi Service ride from Paynebury,482.81,Travel,2025-04-24
Fitbit Subscription Chair,13.35,Fitness,2025-06-17
Credit Card Payment Them,150.2,Finance,2025-05-25
Cinema Election,49.22,Entertainment,2024-12-30
Subway order 560,83.48,Food & Dining,2025-08-26
Starbucks order 142,61.19,Food & Dining,2025-02-24
Clinic Mission,58.9,Healthcare,2025-05-31
Airbnb ride from Lake Sarah,673.18,Travel,2025-08-12
Amazon Wind,163.45,Shopping,2025-01-16
Internet Service Center,174.74,Utilities,2025-06-26
Uber ride from South Jamesstad,620.65,Travel,2025-01-03
Charity Donation Can,390.96,Others,2025-06-17
Cinema Effort,42.04,Entertainment,2025-07-19
Gift Shop Foot,322.83,Others,2025-10-29
Electric Company Picture,200.72,Utilities,2025-07-06
Target Leave,224.57,Shopping,2025-03-15
Trainline ride from East Daniel,72.4,Travel,2025-07-26
Gym Membership Section,13.93,Fitness,2025-02-10
Uber ride from Nicholasfurt,81.89,Travel,2025-04-20
Best Buy Who,127.56,Shopping,2025-06-26
CVS Pharmacy Response,61.29,Healthcare,2025-05-18
Bank Transfer Meet,972.75,Finance,2025-06-05
Walgreens Central,138.61,Healthcare,2025-08-08
Charity Donation Then,177.04,Others,2025-01-16
Lyft ride from East Crystal,779.42,Travel,2025-08-31
CVS Pharmacy Maintain,15.98,Healthcare,2025-01-07
Planet Fitness Rule,64.73,Fitness,2025-03-01
Investment Platform Resource,1603.91,Finance,2025-07-19
Target Night,102.86,Shopping,2025-03-08
Ola ride from North Carol,328.82,Travel,2025-07-24
Uber ride from New Ronald,671.29,Travel,2024-11-30
Spotify Sort,40.71,Entertainment,2025-11-06
Taxi Service ride from New Taylor,317.71,Travel,2024-12-15
Rite Aid Behind,46.87,Healthcare,2025-07-18
Yoga Studio General,14.5,Fitness,2025-08-09
Taxi Service ride from West Courtneyside,497.86,Travel,2024-12-06
Fitbit Subscription Purpose,84.67,Fitness,2025-10-14
Loan EMI House,438.2,Finance,2025-10-20
Loan EMI Discussion,767.21,Finance,2024-11-26
Airbnb ride from South Dana,800.43,Travel,2024-12-18
Flipkart Wind,248.81,Shopping,2025-10-01
Gift Shop Mission,305.43,Others,2025-07-30
KFC order 716,11.61,Food & Dining,2025-09-21
Movie Theater Impact,22.66,Entertainment,2025-10-25
Gym Membership Statement,42.1,Fitness,2025-05-07
Hospital Long,102.73,Healthcare,2024-12-16
Gift Shop Best,281.59,Others,2025-06-10
Hulu Discover,29.68,Entertainment,2025-02-05
Electric Company Beat,260.51,Utilities,2024-12-16
Hospital Accept,157.4,Healthcare,2025-10-12
Miscellaneous Very,150.61,Others,2025-08-12
Best Buy Body,35.89,Shopping,2025-03-20
Phone Bill Forget,159.94,Utilities,2025-09-11
Walgreens Perform,101.26,Healthcare,2025-01-20
Etsy Draw,473.79,Shopping,2025-03-21
Disney+ Likely,12.51,Entertainment,2025-11-01
Planet Fitness These,106.3,Fitness,2025-06-11
Movie Theater Medical,10.26,Entertainment,2025-11-10
Target Lot,342.35,Shopping,2025-11-06
Internet Service Parent,98.55,Utilities,2025-06-06
Etsy Glass,172.92,Shopping,2025-08-15
Flipkart Attorney,174.87,Shopping,2025-11-06
Gas Co Beyond,154.77,Utilities,2025-04-13
Target To,152.85,Shopping,2025-03-29
Charity Donation Marriage,396.55,Others,2025-03-24
Delta Airlines ride from Lopezburgh,493.79,Travel,2025-02-24
Pizza Hut order 279,90.85,Food & Dining,2025-02-13
Gas Co People,132.34,Utilities,2024-12-29
Trainline ride from Port Tiffany,378.1,Travel,2025-01-07
Charity Donation Lawyer,476.65,Others,2025-05-19
Phone Bill Positive,234.6,Utilities,2025-05-23
Investment Platform Century,1470.06,Finance,2025-09-08
Loan EMI Road,962.48,Finance,2025-09-12
Delta Airlines ride from Lake Kyleport,992.06,Travel,2025-02-27
Cafe Nero order 832,16.35,Food & Dining,2025-02-04
Delta Airlines ride from Lake Nicoleburgh,713.07,Travel,2025-02-02
CVS Pharmacy Catch,65.57,Healthcare,2025-03-05
Investment Platform Staff,158.59,Finance,2025-02-19
Gift Shop Consumer,239.37,Others,2025-02-22
Rite Aid Company,85.53,Healthcare,2025-08-11
Credit Card Payment Today,457.16,Finance,2025-04-08
Gym Membership Hour,84.27,Fitness,2025-06-04
Flipkart Also,456.92,Shopping,2025-03-12
Amazon Feel,479.4,Shopping,2024-12-07
Internet Service Ground,224.86,Utilities,2025-08-01
Delta Airlines ride from Oscarland,338.64,Travel,2025-10-07
Loan EMI Performance,1955.21,Finance,2025-03-03
McDonald's order 625,16.89,Food & Dining,2024-12-27
Miscellaneous Method,199.55,Others,2025-11-14
Uber ride from Carterview,139.98,Travel,2025-05-12
Investment Platform Two,1712.96,Finance,2025-05-06
Credit Card Payment Offer,577.97,Finance,2025-08-05
Hulu So,5.01,Entertainment,2025-05-22
Credit Card Payment Maintain,371.12,Finance,2025-05-28
Gift Shop Five,318.32,Others,2025-06-21
Miscellaneous Them,95.57,Others,2025-09-23
Credit Card Payment Report,648.38,Finance,2025-03-17
Bank Transfer Far,1385.86,Finance,2024-12-14
Amazon Country,460.43,Shopping,2025-05-06
Walgreens Toward,145.23,Healthcare,2025-01-24
Lyft ride from Port Calvin,760.69,Travel,2025-08-04
Planet Fitness Both,43.97,Fitness,2025-05-19
Gas Co Conference,123.0,Utilities,2024-12-11
Ola ride from Port Jeffreyport,144.2,Travel,2025-05-16
Yoga Studio Indeed,131.12,Fitness,2025-06-19
Spotify Which,39.28,Entertainment,2025-08-02
Gift Shop Drive,192.84,Others,2025-05-28
Best Buy Develop,100.72,Shopping,2025-03-25
Loan EMI Growth,1611.71,Finance,2025-01-20
Etsy Can,492.9,Shopping,2025-08-24
Electric Company Discover,278.71,Utilities,2025-04-25
Amazon Dark,399.64,Shopping,2025-07-23
Uber ride from East Albert,889.04,Travel,2025-09-07
CVS Pharmacy Food,148.4,Healthcare,2025-05-12
Credit Card Payment Action,280.24,Finance,2025-05-02
Disney+ Two,14.58,Entertainment,2025-06-11
Cinema Business,41.09,Entertainment,2025-06-15
Planet Fitness Country,13.61,Fitness,2025-10-27
Delta Airlines ride from New April,285.22,Travel,2025-11-21
Pizza Hut order 263,10.59,Food & Dining,2025-10-29
Phone Bill Game,36.91,Utilities,2025-11-03
Amazon Author,101.63,Shopping,2025-08-18
Uber ride from South Michaelville,653.22,Travel,2024-11-27
CVS Pharmacy Protect,13.47,Healthcare,2025-04-20
Loan EMI Throughout,1441.68,Finance,2025-09-28
Credit Card Payment Much,662.51,Finance,2025-01-17
Loan EMI Peace,830.98,Finance,2025-01-22
Planet Fitness Feeling,145.32,Fitness,2025-05-17
Fitbit Subscription Treatment,113.96,Fitness,2024-12-06
Gas Co Fear,296.64,Utilities,2025-11-14
Charity Donation Fund,145.11,Others,2024-12-08
Gift Shop Off,213.72,Others,2025-08-09
Hospital Control,118.78,Healthcare,2025-08-12
Netflix System,40.79,Entertainment,2025-05-08
CVS Pharmacy Simply,133.57,Healthcare,2025-09-27
CVS Pharmacy Pass,15.55,Healthcare,2025-06-22
Cinema Store,36.13,Entertainment,2025-06-29
Charity Donation Politics,205.63,Others,2025-04-29
Credit Card Payment Receive,1207.53,Finance,2025-09-20
Gift Shop Environmental,355.16,Others,2025-04-18
Yoga Studio Through,75.93,Fitness,2024-11-23
Loan EMI About,933.2,Finance,2025-06-07
Trainline ride from Sharichester,969.55,Travel,2025-02-08
Flipkart Store,270.99,Shopping,2025-07-18
Electric Company Its,267.59,Utilities,2025-02-13
Internet Service Increase,230.33,Utilities,2025-10-24
Disney+ Beyond,18.61,Entertainment,2025-06-20
Rite Aid Half,169.35,Healthcare,2025-08-09
Walmart Fact,264.73,Shopping,2025-01-25
Ola ride from West Christianstad,5.35,Travel,2025-05-19
CVS Pharmacy Nation,52.28,Healthcare,2025-01-27
Credit Card Payment Action,1358.75,Finance,2025-06-18
Water Board Need,228.98,Utilities,2025-05-25
Internet Service Any,181.39,Utilities,2025-01-24
KFC order 109,59.9,Food & Dining,2024-11-26
Gas Co A,65.25,Utilities,2025-08-18
Bank Transfer Reason,1015.41,Finance,2025-02-26
Disney+ Technology,42.63,Entertainment,2025-07-08
Water Board Make,108.18,Utilities,2025-01-14
Netflix Woman,40.06,Entertainment,2025-01-12
Taxi Service ride from Smithville,643.52,Travel,2025-04-06
Charity Donation At,264.51,Others,2025-09-23
Rite Aid Medical,145.2,Healthcare,2025-11-04
Etsy Wrong,466.52,Shopping,2025-09-29
Planet Fitness Either,64.6,Fitness,2025-04-11
Miscellaneous Discover,32.9,Others,2025-09-14
Clinic Staff,163.71,Healthcare,2025-10-01
Yoga Studio Wait,77.28,Fitness,2025-04-25
Rite Aid Huge,151.01,Healthcare,2025-09-24
Water Board Share,240.54,Utilities,2025-09-15
Lyft ride from Erikaton,97.0,Travel,2024-11-24
Best Buy Hot,320.59,Shopping,2024-12-20
Miscellaneous Manager,393.39,Others,2025-07-05
Fitbit Subscription Protect,142.21,Fitness,2025-06-26
Electric Company Cost,31.9,Utilities,2025-01-13
Netflix Impact,8.55,Entertainment,2025-04-28
Hulu Must,22.04,Entertainment,2025-11-18
Subway order 531,72.65,Food & Dining,2025-03-29
Gift Shop Common,405.75,Others,2025-10-12
Charity Donation Whole,386.63,Others,2025-03-23
Credit Card Payment Quickly,292.4,Finance,2025-06-25
Disney+ Always,36.49,Entertainment,2025-01-18
Target Art,102.63,Shopping,2025-10-18
Miscellaneous Short,210.82,Others,2025-06-28
CVS Pharmacy Some,88.02,Healthcare,2025-05-10
Delta Airlines ride from Michaelview,827.58,Travel,2025-08-09
Yoga Studio Hard,29.16,Fitness,2025-08-28
Etsy Can,30.88,Shopping,2025-09-11
Starbucks order 866,83.6,Food & Dining,2025-01-16
Netflix Will,24.45,Entertainment,2025-07-28
Uber ride from North Angela,987.33,Travel,2024-12-05
Amazon Front,133.04,Shopping,2024-11-30
Target Relate,353.87,Shopping,2025-01-26
Hospital Suggest,197.07,Healthcare,2025-03-28
Subway order 114,62.87,Food & Dining,2025-08-29
Gym Membership Quality,20.33,Fitness,2025-08-05
Hospital Tough,93.07,Healthcare,2025-06-28
Investment Platform Evening,689.45,Finance,2025-04-11
Disney+ Lay,16.61,Entertainment,2025-11-02
Ola ride from Mooreborough,239.38,Travel,2025-07-28
Bank Transfer Range,216.21,Finance,2025-08-19
Rite Aid Sport,114.28,Healthcare,2025-04-30
Loan EMI Result,1334.23,Finance,2025-09-03
Disney+ Far,40.17,Entertainment,2024-12-19
Movie Theater Body,37.47,Entertainment,2025-04-30
Trainline ride from Lake Jennifer,928.86,Travel,2025-08-22
Bank Transfer Ago,1747.77,Finance,2025-08-12
CVS Pharmacy Positive,49.71,Healthcare,2025-05-27
Fitbit Subscription Recognize,62.0,Fitness,2025-08-09
Movie Theater Tough,46.73,Entertainment,2025-08-08
Miscellaneous Region,238.8,Others,2025-05-29
Hulu Grow,42.69,Entertainment,2025-05-21
Clinic But,94.23,Healthcare,2025-07-10
Lyft ride from Wilsonmouth,71.7,Travel,2025-03-19
Airbnb ride from Lawsonport,982.27,Travel,2025-05-31
Disney+ Television,7.22,Entertainment,2025-01-17
Yoga Studio She,69.82,Fitness,2025-06-13
Clinic School,165.93,Healthcare,2024-12-09
Airbnb ride from East Travisstad,199.07,Travel,2025-11-07
Planet Fitness Eight,23.89,Fitness,2025-09-29
Target Thing,197.61,Shopping,2025-07-20
Uber ride from New Erik,804.05,Travel,2025-01-31
Investment Platform Blood,592.98,Finance,2025-08-08
Electric Company Find,28.03,Utilities,2025-03-17
Rite Aid Film,22.92,Healthcare,2025-04-11
Delta Airlines ride from West Michelleview,205.36,Travel,2025-06-03
Delta Airlines ride from Saraton,412.45,Travel,2025-02-07
CVS Pharmacy Final,45.86,Healthcare,2025-01-02
Credit Card Payment Unit,622.5,Finance,2025-05-05
Gym Membership Apply,41.23,Fitness,2025-06-25
Internet Service Thing,26.04,Utilities,2025-03-05
Cinema Everything,21.92,Entertainment,2025-03-07
Hospital Shake,104.38,Healthcare,2025-06-19
Netflix Travel,40.84,Entertainment,2025-09-16
Miscellaneous Game,189.23,Others,2025-08-21
Subway order 513,77.9,Food & Dining,2025-02-24
KFC order 898,80.84,Food & Dining,2025-09-22
Subway order 357,99.6,Food & Dining,2025-07-31
Flipkart By,341.37,Shopping,2025-06-17
Rite Aid Age,70.98,Healthcare,2025-07-26
Miscellaneous Some,11.58,Others,2025-06-06
Planet Fitness Single,85.26,Fitness,2025-11-11
Hulu Lay,49.8,Entertainment,2025-01-29
Gift Shop Event,75.9,Others,2025-01-04
Walmart Attorney,159.42,Shopping,2025-04-06
Movie Theater Reach,19.46,Entertainment,2025-08-11
Netflix Work,17.34,Entertainment,2025-02-22
Gift Shop Model,27.84,Others,2025-08-17
Hospital Type,127.41,Healthcare,2025-06-25
Flipkart First,119.73,Shopping,2025-10-05
Phone Bill Career,207.14,Utilities,2025-01-31
Movie Theater Station,5.27,Entertainment,2025-05-24
Amazon Business,32.14,Shopping,2025-05-24
Target Away,340.54,Shopping,2025-02-22
Internet Service They,155.1,Utilities,2025-06-16
Water Board System,108.56,Utilities,2025-03-22
McDonald's order 278,66.23,Food & Dining,2024-12-23
Fitbit Subscription Sometimes,142.49,Fitness,2025-07-04
Taxi Service ride from Christyberg,200.62,Travel,2025-10-28
Internet Service Probably,297.63,Utilities,2025-06-22
Charity Donation No,62.24,Others,2025-02-09
Spotify Need,47.81,Entertainment,2025-09-28
Domino's order 972,56.16,Food & Dining,2025-10-29
Cafe Nero order 932,98.17,Food & Dining,2025-09-21
Uber ride from Lake Daniel,944.51,Travel,2025-08-06
Airbnb ride from Hendersonshire,642.92,Travel,2025-04-21
Gym Membership Item,52.27,Fitness,2025-11-03
Taxi Service ride from South Michaelmouth,581.0,Travel,2024-12-14
Loan EMI Admit,789.39,Finance,2025-07-06
Internet Service Unit,138.7,Utilities,2025-03-15
Charity Donation Else,162.99,Others,2025-01-15
McDonald's order 119,37.78,Food & Dining,2025-07-18
Charity Donation Rise,453.66,Others,2025-05-31
Gift Shop Forward,99.79,Others,2025-02-18
